
 ---------- Best Recommend news -----------
test214 cnt:116 / score 0.234144
test368 cnt:60 / score 0.233944
test198 cnt:146 / score 0.233883
test170 cnt:154 / score 0.233484
test164 cnt:322 / score 0.233478
test388 cnt:105 / score 0.233467
test57 cnt:134 / score 0.233147
test492 cnt:169 / score 0.232731
test497 cnt:98 / score 0.232625
test99 cnt:284 / score 0.232142
test277 cnt:368 / score 0.231595
test167 cnt:320 / score 0.231272
test450 cnt:33 / score 0.231097
test119 cnt:300 / score 0.230546
test245 cnt:151 / score 0.230434
test259 cnt:170 / score 0.229530
test14 cnt:473 / score 0.228771
test161 cnt:134 / score 0.227646
test219 cnt:118 / score 0.227405
test2 cnt:330 / score 0.225335
test231 cnt:298 / score 0.224329
test43 cnt:54 / score 0.224021
test190 cnt:92 / score 0.222261
test70 cnt:121 / score 0.220893
test395 cnt:156 / score 0.220444
test74 cnt:147 / score 0.220085
test439 cnt:156 / score 0.219521
test11 cnt:126 / score 0.219120
test236 cnt:95 / score 0.218749
test4 cnt:134 / score 0.218573
test201 cnt:201 / score 0.217365
test1 cnt:128 / score 0.216613
test375 cnt:97 / score 0.216431
test323 cnt:151 / score 0.216336
test142 cnt:52 / score 0.215699
test5 cnt:131 / score 0.215403
test89 cnt:133 / score 0.214340
test48 cnt:288 / score 0.214243
test324 cnt:136 / score 0.214023
test10 cnt:121 / score 0.213930
test27 cnt:263 / score 0.213595
test384 cnt:155 / score 0.213455
test181 cnt:110 / score 0.212969
test72 cnt:224 / score 0.212914
test25 cnt:89 / score 0.212898
test291 cnt:56 / score 0.211639
test24 cnt:156 / score 0.211615
test444 cnt:131 / score 0.211475
test88 cnt:185 / score 0.211270
test430 cnt:111 / score 0.210850
test213 cnt:106 / score 0.209353
test387 cnt:182 / score 0.209229
test296 cnt:223 / score 0.207953
test18 cnt:82 / score 0.207674
test58 cnt:109 / score 0.206870
test209 cnt:56 / score 0.206217
test304 cnt:232 / score 0.205514
test61 cnt:110 / score 0.205072
test376 cnt:92 / score 0.204954
test233 cnt:136 / score 0.204669
test410 cnt:133 / score 0.204463
test364 cnt:194 / score 0.203108
test180 cnt:187 / score 0.202958
test228 cnt:145 / score 0.202526
test197 cnt:119 / score 0.202033
test36 cnt:120 / score 0.201029
test287 cnt:115 / score 0.200206
test466 cnt:120 / score 0.195340
test391 cnt:171 / score 0.193792
test280 cnt:87 / score 0.192895
test284 cnt:240 / score 0.192166
test69 cnt:104 / score 0.191855
test486 cnt:249 / score 0.191260
test224 cnt:157 / score 0.190884
test472 cnt:202 / score 0.189787
test135 cnt:299 / score 0.187834
test279 cnt:92 / score 0.187615
test244 cnt:184 / score 0.187277
test238 cnt:197 / score 0.186948
test457 cnt:86 / score 0.184895
test114 cnt:125 / score 0.184505
test276 cnt:160 / score 0.180478
test32 cnt:220 / score 0.180201
test453 cnt:58 / score 0.178878
test434 cnt:219 / score 0.178793
test288 cnt:405 / score 0.177630
test473 cnt:130 / score 0.177571
test143 cnt:164 / score 0.176513
test468 cnt:62 / score 0.176086
test286 cnt:148 / score 0.175236
test359 cnt:443 / score 0.174809
test193 cnt:97 / score 0.173061
test168 cnt:54 / score 0.172909
test247 cnt:204 / score 0.172092
test425 cnt:177 / score 0.171850
test495 cnt:174 / score 0.171551
test342 cnt:150 / score 0.171513
test272 cnt:106 / score 0.171230
test458 cnt:97 / score 0.169876
test95 cnt:304 / score 0.166592
test230 cnt:192 / score 0.162499
test55 cnt:109 / score 0.160905
test210 cnt:48 / score 0.160830
test493 cnt:214 / score 0.159600
test446 cnt:284 / score 0.155491
test196 cnt:69 / score 0.152616
test336 cnt:151 / score 0.152409
